"name","metascore","console","userscore","date","date.formatted","Genre","Publisher"
"88 Heroes",72,"PS4",58,"Mar 24, 2017",2017-03-24,NA,NA
"88 Heroes: 98 Heroes Edition",65,"Switch",64,"Oct 10, 2017",2017-10-10,NA,NA
"911 Operator",68,"PC",76,"Feb 24, 2017",2017-02-24,NA,NA
"99Bullets",74,"DS",NA,"May 23, 2011",2011-05-23,NA,NA
"99Vidas",61,"PS4",65,"Jul 18, 2017",2017-07-18,NA,NA
"A Bastard's Tale",48,"PS4",58,"Oct 4, 2016",2016-10-04,NA,NA
"A Bird Story",66,"PC",70,"Nov 7, 2014",2014-11-07,NA,NA
"A Boy and His Blob",80,"WII",86,"Oct 13, 2009",2009-10-13,"Platform","Majesco Entertainment"
"A Case of Distrust",77,"PC",46,"Feb 8, 2018",2018-02-08,NA,NA
"A City Sleeps",61,"PC",58,"Oct 16, 2014",2014-10-16,NA,NA
"A Fistful of Gun",60,"PC",76,"Sep 23, 2015",2015-09-23,NA,NA
"A Game of Dwarves",60,"PC",66,"Oct 23, 2012",2012-10-23,NA,NA
"A Game of Thrones: Genesis",53,"PC",41,"Sep 28, 2011",2011-09-28,"Strategy","Focus Home Interactive"
"A Golden Wake",68,"PC",60,"Oct 9, 2014",2014-10-09,NA,NA
"A Hat in Time",79,"PS4",77,"Dec 5, 2017",2017-12-05,NA,NA
"A Hat in Time",79,"PC",84,"Oct 5, 2017",2017-10-05,NA,NA
"A Hat in Time",74,"XONE",77,"Dec 6, 2017",2017-12-06,NA,NA
"A Kingdom for Keflings",78,"X360",69,"Nov 19, 2008",2008-11-19,NA,NA
"A New Beginning: Final Cut",72,"PC",68,"Dec 11, 2012",2012-12-11,NA,NA
"A Normal Lost Phone",73,"Switch",60,"Mar 1, 2018",2018-03-01,NA,NA
"A Normal Lost Phone",71,"PC",71,"Jan 26, 2017",2017-01-26,NA,NA
"A Pixel Story",74,"PC",58,"Mar 30, 2015",2015-03-30,NA,NA
"A Pixel Story",74,"XONE",NA,"Feb 24, 2017",2017-02-24,NA,NA
"A Quiet Weekend in Capri",63,"PC",75,"Mar 17, 2004",2004-03-17,NA,NA
"A Robot Named Fight!",71,"Switch",69,"Apr 26, 2018",2018-04-26,NA,NA
"A Rose in the Twilight",75,"VITA",79,"Apr 11, 2017",2017-04-11,NA,NA
"A Space Shooter for 2 Bucks!",81,"PSP",63,"Dec 21, 2010",2010-12-21,NA,NA
"A Story About My Uncle",73,"PC",72,"May 28, 2014",2014-05-28,NA,NA
"A Total War Saga: Thrones of Britannia",75,"PC",52,"May 2, 2018",2018-05-02,NA,NA
"A Valley Without Wind",54,"PC",68,"Apr 24, 2012",2012-04-24,NA,NA
"A Virus Named TOM",65,"PC",63,"Aug 1, 2012",2012-08-01,NA,NA
"A Way Out",79,"XONE",76,"Mar 23, 2018",2018-03-23,NA,NA
"A Way Out",78,"PS4",80,"Mar 23, 2018",2018-03-23,NA,NA
"A Way Out",78,"PC",75,"Mar 23, 2018",2018-03-23,NA,NA
"A Witch's Tale",50,"DS",62,"Oct 13, 2009",2009-10-13,"Role-Playing","Nippon Ichi Software"
"A World of Keflings",77,"X360",65,"Dec 22, 2010",2010-12-22,NA,NA
"A.R.E.S. Extinction Agenda EX",66,"X360",72,"Oct 2, 2013",2013-10-02,NA,NA
"A.W.: Phoenix Festa",55,"VITA",45,"Jul 26, 2016",2016-07-26,NA,NA
"AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity",81,"PC",72,"Sep 3, 2009",2009-09-03,NA,NA
"Aaero",77,"PS4",56,"Apr 11, 2017",2017-04-11,NA,NA
"Aaero",80,"XONE",73,"Apr 11, 2017",2017-04-11,NA,NA
"Aarklash: Legacy",72,"PC",77,"Sep 12, 2013",2013-09-12,NA,NA
"Aaru's Awakening",59,"PC",28,"Feb 23, 2015",2015-02-23,NA,NA
"Absolver",75,"PC",60,"Aug 29, 2017",2017-08-29,NA,NA
"Absolver",69,"PS4",58,"Aug 29, 2017",2017-08-29,NA,NA
"Abyss",59,"WIIU",53,"May 1, 2014",2014-05-01,NA,NA
"Abyss Odyssey",69,"PC",74,"Jul 15, 2014",2014-07-15,NA,NA
"Abyss Odyssey",64,"X360",65,"Jul 16, 2014",2014-07-16,NA,NA
"Abyss Odyssey",70,"PS3",62,"Jul 15, 2014",2014-07-15,NA,NA
"Abyss Odyssey: Extended Dream Edition",65,"PS4",61,"Jul 28, 2015",2015-07-28,NA,NA
"ABZU",83,"PC",69,"Aug 2, 2016",2016-08-02,NA,NA
"ABZU",78,"PS4",76,"Aug 2, 2016",2016-08-02,NA,NA
"AC/DC Live: Rock Band Track Pack",60,"PS3",53,"Nov 2, 2008",2008-11-02,NA,NA
"AC/DC Live: Rock Band Track Pack",63,"X360",49,"Nov 2, 2008",2008-11-02,NA,NA
"ACA NeoGeo: Metal Slug 3",76,"Switch",76,"Mar 9, 2017",2017-03-09,NA,NA
"ACA NeoGeo: Shock Troopers",70,"Switch",65,"Mar 9, 2017",2017-03-09,NA,NA
"Academy of Champions: Soccer",64,"WII",68,"Nov 3, 2009",2009-11-03,"Sports","Ubisoft"
"Accel World vs. Sword Art Online: Millennium Twilight",64,"PS4",59,"Jul 7, 2017",2017-07-07,NA,NA
"Acceleration of SUGURI X-Edition",61,"PS3",55,"Feb 15, 2011",2011-02-15,NA,NA
"Ace Attorney Investigations: Miles Edgeworth",78,"DS",84,"Feb 16, 2010",2010-02-16,"Adventure","Capcom"
"Ace Banana",40,"PS4",40,"Oct 13, 2016",2016-10-13,NA,NA
"Ace Combat 04: Shattered Skies",89,"PS2",89,"Nov 1, 2001",2001-11-01,"Simulation","Sony Computer Entertainment Europe"
"Ace Combat 5: The Unsung War",84,"PS2",89,"Oct 25, 2004",2004-10-25,"Simulation","Sony Computer Entertainment Europe"
"Ace Combat 6: Fires of Liberation",80,"X360",79,"Oct 23, 2007",2007-10-23,"Simulation","Atari"
"Ace Combat Advance",56,"GBA",75,"Feb 23, 2005",2005-02-23,NA,NA
"Ace Combat Assault Horizon: Enhanced Edition",77,"PC",59,"Jan 24, 2013",2013-01-24,NA,NA
"Ace Combat Infinity",54,"PS3",57,"May 27, 2014",2014-05-27,NA,NA
"Ace Combat X: Skies of Deception",75,"PSP",83,"Oct 23, 2006",2006-10-23,"Simulation","Namco Bandai Games"
"Ace Combat Zero: The Belkan War",75,"PS2",84,"Apr 25, 2006",2006-04-25,"Simulation","Namco Bandai Games"
"Ace Combat: Assault Horizon",78,"X360",62,"Oct 11, 2011",2011-10-11,"Action","Namco Bandai Games"
"Ace Combat: Assault Horizon",78,"X360",62,"Oct 11, 2011",2011-10-11,"Action","Namco Bandai Games"
"Ace Combat: Assault Horizon",77,"PS3",68,"Oct 11, 2011",2011-10-11,"Action","Namco Bandai Games"
"Ace Combat: Assault Horizon",77,"PS3",68,"Oct 11, 2011",2011-10-11,"Action","Namco Bandai Games"
"Ace Combat: Assault Horizon Legacy",71,"3DS",78,"Nov 15, 2011",2011-11-15,"Simulation","Namco Bandai Games"
"Ace Combat: Assault Horizon Legacy+",63,"3DS",58,"Feb 10, 2015",2015-02-10,NA,NA
"Ace Combat: Joint Assault",71,"PSP",73,"Aug 31, 2010",2010-08-31,"Simulation","Namco Bandai Games"
"Ace of Spades",49,"PC",51,"Dec 12, 2012",2012-12-12,NA,NA
"Aces of the Galaxy",71,"X360",73,"Jun 4, 2008",2008-06-04,NA,NA
"Achron",54,"PC",74,"Aug 29, 2011",2011-08-29,NA,NA
"ACORN Tactics",51,"Switch",NA,"Dec 7, 2017",2017-12-07,NA,NA
"Act of Aggression",71,"PC",71,"Sep 2, 2015",2015-09-02,"Strategy","Focus Home Interactive"
"Act of War: Direct Action",82,"PC",82,"Mar 15, 2005",2005-03-15,NA,NA
"Act of War: High Treason",74,"PC",75,"May 30, 2006",2006-05-30,NA,NA
"Action Bass",51,"PS",NA,"Jul 14, 2000",2000-07-14,"Action","Take-Two Interactive"
"Action Henk",73,"PS4",47,"Mar 8, 2016",2016-03-08,NA,NA
"Action Henk",74,"PC",76,"May 11, 2015",2015-05-11,NA,NA
"Action Henk",72,"XONE",NA,"Mar 4, 2016",2016-03-04,NA,NA
"Active Life: Extreme Challenge",56,"WII",NA,"Aug 11, 2009",2009-08-11,"Sports","Namco Bandai Games"
"Active Soccer 2 DX",53,"XONE",72,"Mar 30, 2016",2016-03-30,NA,NA
"Activision Anthology",75,"PS2",81,"Nov 19, 2002",2002-11-19,"Misc","Activision"
"Activision Anthology",75,"PS2",81,"Nov 19, 2002",2002-11-19,"Misc","Activision"
"Activision Anthology",79,"GBA",NA,"Dec 9, 2003",2003-12-09,"Misc","Activision"
"Activision Anthology",79,"GBA",NA,"Dec 9, 2003",2003-12-09,"Misc","Activision"
"Activision Hits Remixed",75,"PSP",NA,"Nov 8, 2006",2006-11-08,NA,NA
"Actual Sunlight",75,"VITA",61,"Aug 11, 2015",2015-08-11,NA,NA
"Adam's Venture Chronicles",49,"PS3",68,"Feb 4, 2014",2014-02-04,NA,NA
"Adam's Venture: Origins",53,"PS4",58,"Apr 1, 2016",2016-04-01,NA,NA
"ADR1FT",56,"PS4",51,"Jul 15, 2016",2016-07-15,NA,NA
"ADR1FT",64,"PC",51,"Mar 28, 2016",2016-03-28,NA,NA
"Adrenalin Misfits",50,"X360",NA,"Nov 4, 2010",2010-11-04,"Racing","Konami Digital Entertainment"
"Advance Guardian Heroes",65,"GBA",NA,"Sep 14, 2004",2004-09-14,"Role-Playing","Ubisoft"
"Advance Wars",92,"GBA",90,"Sep 9, 2001",2001-09-09,"Strategy","Nintendo"
"Advance Wars 2: Black Hole Rising",89,"GBA",91,"Jun 24, 2003",2003-06-24,"Strategy","Nintendo"
"Advance Wars: Days of Ruin",86,"DS",86,"Jan 21, 2008",2008-01-21,"Strategy","Nintendo"
"Advance Wars: Dual Strike",90,"DS",89,"Aug 22, 2005",2005-08-22,"Strategy","Nintendo"
